"Sex","Length","Diameter","Height","Whole.weight","Shucked.weight","Viscera.weight","Shell.weight","Rings"
"F",0.58,0.45,NA,NA,0.393,0.212,0.2895,9
"I",NA,0.15,0.065,0.04,0.02,0.011,0.013,4
"I",0.36,0.265,0.075,0.1845,0.083,0.0365,0.055,7
"I",0.33,0.25,0.095,0.2085,NA,0.0395,0.052,NA
"M",NA,0.42,0.16,NA,0.6325,0.311,0.344,NA
"F",NA,0.46,0.155,1.0455,0.4565,0.24,0.3085,10
"I",0.355,0.27,NA,0.216,0.083,0.037,NA,10
"I",0.295,0.21,0.08,0.1,0.038,NA,NA,8
"F",0.6,0.465,0.155,NA,0.4755,0.25,NA,11
"F",0.605,0.49,0.15,NA,0.5265,0.2645,0.295,9
"I",0.365,0.295,0.095,0.25,0.1075,0.0545,0.08,9
"I",NA,0.47,NA,0.907,0.444,0.1855,NA,11
"I",0.58,0.42,0.16,0.728,0.2725,0.19,0.19,14
"M",0.515,0.41,0.14,0.7355,0.3065,0.137,NA,7
"M",0.66,0.53,0.175,1.583,0.7395,0.3505,NA,10
"F",0.49,0.37,0.14,0.585,0.243,0.115,0.195,10
"I",0.465,NA,0.105,0.4015,0.242,0.0345,NA,NA
"M",0.43,0.31,0.13,0.6485,0.2735,NA,0.184,9
"F",0.58,0.435,0.14,0.953,0.475,NA,0.2095,9
"I",0.405,0.31,NA,NA,0.138,0.06,0.087,8
"M",0.615,0.47,NA,1.242,0.5675,0.287,NA,NA
"F",0.545,0.415,0.2,1.358,0.567,0.318,0.403,10
"F",0.665,0.525,0.18,1.5785,0.678,0.229,NA,NA
"M",0.28,0.21,0.065,0.0905,0.035,0.02,0.03,5
"M",NA,0.48,0.14,0.9125,0.4095,0.1825,0.289,9
"I",NA,0.345,NA,0.366,NA,0.0905,0.12,13
"M",0.61,0.47,0.175,1.214,0.5315,0.2835,0.325,10
"M",0.63,0.485,0.145,1.062,0.5065,0.1785,0.3365,12
"I",0.59,0.475,0.145,NA,0.4675,0.207,0.259,10
"F",0.65,0.545,NA,NA,0.5605,0.2895,NA,16
"M",0.63,0.515,0.16,1.016,0.4215,0.244,0.355,19
"F",0.675,0.57,NA,1.587,NA,0.2995,0.435,10
"I",0.565,0.43,0.125,0.6545,0.2815,0.139,0.21,9
"F",0.65,0.525,0.19,1.385,0.8875,0.3095,0.405,11
"M",0.515,0.435,0.145,0.8815,0.292,0.206,0.255,10
"F",0.645,0.51,0.16,NA,0.5815,0.276,0.315,9
"F",0.62,0.485,0.175,1.271,0.531,0.3075,0.37,NA
"F",0.645,0.52,0.19,1.3105,0.58,0.288,0.37,12
"M",0.6,0.495,0.175,1.29,0.606,NA,NA,11
"I",0.565,0.46,0.155,0.8715,0.3755,0.215,0.25,10
"I",0.435,NA,0.095,0.298,0.109,0.058,0.115,7
"M",0.61,0.47,0.155,1.0325,0.497,0.2175,0.2785,9
"M",0.49,NA,0.14,0.707,0.2795,NA,0.18,13
"M",0.385,0.3,NA,0.24,0.0885,0.059,0.085,NA
"F",0.66,0.525,0.18,1.5965,0.7765,0.397,0.3605,10
"M",NA,0.5,0.185,NA,0.4445,0.2635,0.465,16
"M",0.5,0.38,0.155,0.66,0.2655,0.1365,0.215,19
"M",0.725,0.57,0.19,2.3305,1.253,0.541,0.52,NA
"M",0.425,0.325,0.1,0.3295,0.1365,0.0725,0.11,7
"M",0.715,0.535,0.19,1.6755,0.889,0.313,0.42,NA
"F",0.715,0.565,0.24,2.1995,0.7245,0.465,NA,17
"I",0.405,0.31,NA,0.91,0.416,0.2075,0.0995,8
"F",0.59,NA,0.205,1.2315,0.4525,0.238,0.42,NA
"F",0.645,0.52,0.175,NA,0.667,0.2665,0.355,10
"M",0.645,0.495,0.19,1.539,NA,0.408,NA,NA
"F",0.54,NA,0.13,NA,NA,0.1675,0.1845,9
"M",0.465,0.375,0.11,0.5,0.21,0.113,NA,8
"I",0.435,NA,0.11,NA,0.1615,0.0715,0.12,7
"M",0.725,0.505,0.185,1.978,1.026,0.4255,0.4505,12
"M",0.47,NA,0.15,0.6355,0.2185,0.0885,0.255,9
"F",0.61,0.47,0.165,1.1785,NA,0.2785,NA,11
"I",0.445,0.325,NA,0.378,0.1795,0.1,NA,7
"M",0.525,0.405,0.12,0.7555,NA,0.1555,0.201,9
"M",0.58,0.46,0.13,0.921,0.357,0.181,0.29,13
"I",0.445,0.335,0.11,0.411,NA,0.0935,0.109,8
"F",0.62,0.475,0.16,1.1295,0.463,NA,0.33,10
"F",0.525,0.44,0.15,0.8425,NA,NA,0.24,12
"M",0.62,0.49,0.16,1.035,0.44,0.2525,0.285,11
"F",0.565,0.45,0.135,0.9885,0.387,0.1495,NA,12
"I",0.245,0.175,0.055,0.0785,0.04,0.018,0.02,NA
"I",0.48,0.37,0.125,0.5435,0.244,0.101,0.165,9
"I",0.335,0.24,0.095,0.17,0.062,0.039,0.055,9
"F",NA,0.27,0.135,0.597,0.272,0.131,0.1675,7
"M",0.655,0.525,0.185,1.259,0.487,0.2215,0.445,20
"M",0.6,0.47,NA,1.105,NA,0.247,NA,15
"F",0.455,0.36,0.11,0.4385,0.206,0.098,0.125,10
"M",0.555,0.425,0.15,0.873,NA,0.1845,0.1965,9
"I",0.3,0.225,0.075,0.1345,0.057,NA,0.044,5
"M",0.53,0.41,0.155,0.7155,NA,NA,0.214,11
"F",0.69,0.535,0.185,1.826,0.797,0.409,0.499,11
"I",NA,0.465,0.195,1.0885,0.3685,0.187,0.375,NA
"M",0.515,0.4,0.16,0.8175,0.2515,0.156,NA,NA
"F",0.585,0.445,0.14,0.913,0.4305,0.2205,0.253,10
"I",0.535,0.39,0.125,NA,0.2595,0.149,NA,9
"I",0.415,0.325,0.1,0.385,0.167,0.08,NA,7
"M",0.575,NA,0.16,0.9615,0.483,0.166,0.275,NA
"I",0.39,0.29,0.1,0.2845,0.1255,NA,NA,7
"M",0.6,0.475,0.23,1.157,0.522,0.2235,0.36,NA
"M",0.69,0.54,0.185,1.71,0.7725,NA,0.4325,8
"I",NA,NA,NA,NA,0.152,0.0615,0.0735,7
"I",NA,NA,0.105,0.2155,0.0915,0.0475,0.063,6
"F",0.645,0.5,0.225,NA,NA,NA,0.41,15
"I",NA,0.44,0.165,0.8,0.335,0.1735,0.25,12
"F",0.5,0.395,0.15,0.7145,0.3235,NA,0.195,9
"M",0.615,0.495,0.2,1.304,0.5795,0.3115,0.371,14
"I",0.39,0.295,0.1,NA,NA,0.059,0.08,7
"I",0.41,0.325,NA,0.3245,0.132,0.072,0.106,NA
"I",0.14,0.105,0.035,0.0145,0.005,0.0035,0.005,4
"F",0.58,0.475,0.135,0.925,NA,NA,0.275,14
"I",0.62,0.485,0.18,1.154,0.4935,0.256,NA,NA
"M",NA,0.27,0.09,0.2225,0.083,0.053,0.075,6
"M",0.56,NA,0.145,0.894,0.3885,0.2095,0.264,9
"I",0.47,0.355,0.145,NA,0.156,0.102,0.123,7
"M",0.255,0.18,NA,0.079,0.034,0.014,NA,5
"M",0.65,0.515,NA,1.3745,NA,0.1805,0.369,12
"I",0.29,0.21,0.07,NA,NA,0.0205,0.03,5
"I",0.27,0.205,0.075,NA,0.059,0.031,0.0305,4
"M",0.655,0.545,0.19,1.4245,0.6325,0.333,0.378,10
"I",0.355,0.28,0.085,NA,0.095,0.0395,0.115,7
"I",0.61,0.465,0.125,0.9225,0.436,0.19,0.26,9
"M",0.575,0.46,0.165,0.9155,0.4005,0.2465,0.2385,8
"I",0.39,0.29,0.1,0.2225,0.095,NA,0.073,7
"M",0.27,0.195,0.07,0.106,NA,0.018,0.036,7
"M",0.605,0.475,0.16,1.616,0.5495,0.332,0.34,18
"F",0.48,NA,0.12,0.608,0.2705,0.1405,0.185,8
"F",0.65,0.5,0.16,1.3825,0.702,0.304,0.3195,9
"F",0.615,0.475,0.17,1.1025,NA,NA,NA,NA
"M",0.65,0.515,0.18,1.463,0.658,0.3135,0.4115,11
"I",0.47,0.37,NA,0.4705,0.1845,0.1055,0.155,12
"I",NA,0.32,0.11,0.3735,0.175,NA,0.109,NA
"M",0.49,0.39,0.15,0.573,0.225,0.124,NA,21
"M",0.545,0.41,0.14,0.625,0.223,0.16,0.235,13
"F",0.605,0.485,0.16,1.0565,NA,0.2355,0.355,NA
"F",0.575,0.45,0.16,0.9775,0.3135,0.231,NA,NA
"I",0.53,0.425,0.13,0.7675,NA,0.1205,0.21,9
"F",0.655,0.515,0.18,1.412,0.6195,0.2485,0.497,11
"F",0.675,0.545,0.195,1.7345,0.6845,0.3695,0.605,20
"F",0.55,0.44,0.125,0.765,NA,0.2125,0.245,9
"M",0.425,0.34,0.12,0.388,0.149,0.087,0.125,10
"M",0.46,NA,NA,0.547,0.2165,NA,NA,8
"I",0.49,0.37,NA,0.538,0.271,0.1035,NA,NA
"F",0.675,0.555,NA,1.925,0.713,0.358,0.4535,13
"M",NA,0.385,0.135,0.6425,0.3195,0.129,NA,7
"I",0.47,0.375,0.125,0.5225,0.2265,0.104,0.162,8
"I",0.515,0.385,0.125,0.572,0.237,0.1435,0.165,7
"F",0.475,0.38,0.14,0.689,0.3165,NA,0.1955,7
"F",0.585,0.45,0.17,0.8685,NA,NA,0.27,22
"I",0.365,0.28,NA,NA,0.0865,0.036,0.0605,7
"M",0.47,0.375,0.12,0.5565,NA,0.122,0.195,NA
"M",0.53,0.435,0.155,NA,0.288,0.1595,0.205,10
"F",0.675,0.55,0.18,1.6885,NA,NA,0.6,15
"F",0.615,0.455,0.135,1.059,0.4735,0.263,0.274,9
"M",0.52,0.385,0.115,NA,NA,0.172,0.205,12
"I",0.275,0.2,0.065,0.092,0.0385,NA,0.027,5
"M",0.645,0.49,0.175,1.32,0.6525,0.2375,NA,11
"I",0.345,0.255,0.085,0.2005,0.105,0.037,0.05,5
"M",0.645,0.505,0.15,1.1605,0.519,0.2615,0.335,10
"I",0.58,0.49,0.195,1.3165,0.5305,0.254,0.41,18
"F",NA,0.53,0.17,1.5535,0.7945,0.3485,0.3695,9
"M",0.565,0.445,0.14,0.836,0.406,0.1605,0.2245,9
"I",0.37,0.28,0.095,0.2865,NA,0.069,0.0795,7
"F",0.595,0.47,NA,NA,0.462,0.2475,0.445,14
"I",NA,NA,0.14,0.5995,0.242,NA,NA,11
"F",0.67,0.535,0.185,1.597,0.6275,0.35,0.47,21
"I",NA,0.315,NA,0.377,0.1645,NA,0.105,6
"M",0.35,NA,0.09,0.195,0.0745,0.041,0.0655,9
"M",NA,NA,NA,1.201,0.5395,0.275,0.309,10
"F",NA,0.46,0.15,0.8765,0.3455,0.1925,0.275,10
"M",NA,0.435,0.125,0.8965,0.383,NA,0.275,9
"M",0.635,0.5,0.18,1.154,NA,0.2315,0.387,9
"M",0.385,0.31,0.1,0.2845,0.1065,0.075,NA,11
"I",0.375,0.265,NA,0.196,0.085,0.042,0.0585,5
"M",0.55,0.46,0.175,0.869,0.3155,0.1825,NA,10
"M",0.575,0.47,0.15,1.1415,0.4515,NA,0.4,13
"I",0.635,NA,NA,NA,NA,0.2595,NA,16
"F",0.51,0.37,0.21,1.183,0.508,0.292,0.343,9
"F",0.67,0.55,0.19,1.3905,0.5425,0.3035,0.4,12
"I",0.41,0.305,0.1,0.2645,0.1,0.0655,0.085,7
"F",0.635,0.505,0.185,1.3035,0.501,0.295,0.41,NA
"F",0.575,NA,0.165,1.0405,NA,0.264,0.3,NA
"F",0.58,0.455,0.12,0.94,NA,0.257,NA,11
"F",0.415,0.325,0.115,0.3455,0.1405,0.0765,0.11,9
"I",0.5,0.38,0.135,NA,0.226,0.123,0.209,8
"I",0.515,0.38,NA,0.625,0.3265,0.1295,0.16,7
"I",0.52,0.4,0.13,0.5825,0.233,0.1365,0.18,10
"F",0.625,0.48,NA,1.2035,NA,0.239,NA,12
"I",0.23,NA,NA,0.057,0.026,0.013,0.016,5
"M",0.525,0.395,0.165,0.782,0.285,0.1405,0.285,19
"F",0.725,NA,0.205,1.6195,0.744,0.315,0.488,11
"M",0.445,0.34,0.12,NA,0.193,0.1035,0.13,9
"F",0.64,0.49,0.18,1.36,0.653,0.347,NA,9
"F",NA,0.36,0.145,0.537,NA,0.1375,0.195,15
"M",0.56,0.42,0.15,NA,0.44,0.1965,0.2315,8
"I",0.185,NA,0.12,0.4645,0.196,0.1045,0.15,6
"M",0.63,NA,0.185,1.21,0.53,0.2555,0.322,11
"F",0.65,NA,0.215,1.498,0.564,0.323,NA,16
"M",0.44,0.34,0.105,0.402,0.1305,0.0955,0.165,10
"I",NA,0.355,0.115,0.4385,0.184,0.108,0.1125,11
"I",0.485,0.375,0.14,0.521,0.2,0.123,NA,8
"I",0.43,NA,NA,NA,0.1635,0.08,0.09,7
"I",NA,NA,0.135,NA,0.445,0.2035,0.253,9
"F",0.5,0.38,NA,0.6355,0.277,0.143,0.1785,8
"I",0.425,0.34,0.1,NA,0.1625,NA,0.094,7
"M",0.565,NA,0.17,0.9065,0.342,NA,0.32,18
"M",0.445,0.35,0.14,0.5905,0.2025,0.158,0.19,14
"I",0.445,0.355,0.095,0.3615,0.1415,0.0785,0.12,8
"M",0.7,0.545,0.215,NA,0.8825,0.4385,0.506,10
"I",NA,NA,0.155,0.81,0.4725,0.111,0.192,10
"I",0.625,0.485,0.16,1.15,0.5255,0.257,NA,11
"M",0.59,0.47,NA,1.187,0.5985,0.227,0.31,9
"M",0.485,0.37,0.155,0.968,0.419,0.2455,0.2365,9
"M",0.55,0.405,0.14,0.8025,0.244,0.1635,0.255,10
"F",0.52,0.425,NA,NA,0.385,0.2015,NA,10
"M",0.56,0.455,0.155,NA,0.34,0.19,0.2425,NA
"F",NA,0.54,NA,1.5585,0.7285,NA,NA,11
"M",0.485,NA,0.12,0.599,NA,NA,0.169,8
"I",NA,0.175,0.09,0.2315,0.096,0.057,0.0705,5
"F",NA,0.465,0.15,1.082,NA,NA,NA,14
"M",NA,0.5,0.165,NA,0.667,0.269,0.341,9
"F",0.595,0.46,0.14,1.0045,0.4655,0.2095,0.2515,9
"M",0.575,0.445,NA,0.847,0.415,0.1945,NA,9
"M",0.59,NA,0.15,1.142,0.485,0.265,0.345,9
"M",0.6,0.49,0.21,1.9875,1.005,0.419,0.491,10
"I",0.54,0.43,0.14,0.8195,0.3935,0.1725,0.2295,9
"F",0.63,0.48,0.175,NA,NA,0.3035,0.515,17
"I",0.385,0.3,0.125,0.343,0.1705,0.0735,NA,7
"I",0.54,0.42,0.14,0.6665,NA,0.138,0.1895,NA
"F",NA,NA,NA,1.1005,0.5125,0.229,0.305,11
"I",0.31,NA,0.07,NA,0.063,0.0405,0.045,6
"F",NA,0.41,0.115,0.807,0.2855,0.179,NA,12
"M",0.655,0.54,NA,1.844,0.7425,0.327,0.585,22
"M",0.735,0.555,0.22,2.333,1.2395,0.3645,0.6195,12
"F",0.605,0.45,0.195,1.098,0.481,0.2895,0.315,13
"I",0.17,0.125,0.055,0.0235,0.009,NA,0.008,NA
"M",0.395,0.305,NA,0.282,NA,NA,0.096,9
"M",0.53,0.44,0.205,0.835,0.32,0.2175,NA,14
"I",0.45,NA,0.11,0.514,0.253,0.1045,NA,8
"M",NA,0.395,0.14,0.549,0.2215,0.1275,0.15,11
"I",NA,NA,0.05,0.049,NA,0.01,0.015,4
"I",0.325,0.25,0.08,0.1735,0.0765,0.0345,0.049,7
"M",0.525,0.415,0.135,0.7945,0.394,0.189,0.202,7
"I",0.55,NA,NA,NA,0.495,0.1805,0.205,NA
"M",0.505,0.4,0.135,0.723,0.377,0.149,0.178,7
"F",0.6,0.465,0.15,1.1025,NA,0.262,0.25,NA
"I",0.59,0.45,NA,0.893,0.2745,NA,0.345,NA
"F",0.61,0.47,0.145,1.153,NA,0.296,0.32,14
"I",0.51,0.405,0.125,0.6795,0.3465,0.1395,0.182,8
"M",0.465,0.36,0.08,NA,NA,0.125,0.155,11
"F",0.49,0.385,0.16,0.656,NA,0.171,0.205,NA
"I",0.305,0.245,0.075,0.156,0.0675,0.038,NA,NA
"F",NA,NA,0.22,1.359,0.642,0.3255,0.405,13
"F",0.605,NA,0.165,1.056,NA,0.2195,0.357,9
"M",0.52,0.42,0.16,0.745,0.255,0.157,0.2885,11
"M",NA,0.55,0.17,1.247,NA,NA,0.4,21
"F",0.605,NA,NA,1.2385,0.528,NA,0.39,14
"M",0.475,0.36,0.1,NA,0.1965,NA,NA,7
"I",0.505,0.425,0.125,0.6115,0.245,0.1375,0.2,9
"F",0.645,0.52,0.21,1.5535,0.616,0.3655,0.474,16
"I",0.475,0.365,NA,0.1315,0.2025,0.0875,0.123,7
"I",0.345,NA,0.1,0.2455,0.111,0.0535,0.065,7
"I",0.235,0.16,NA,0.048,0.0185,0.018,0.015,5
"I",0.57,0.435,NA,0.848,0.4,0.166,0.25,9
"I",0.275,0.215,0.075,0.1155,NA,0.029,0.035,7
"I",NA,0.4,0.125,NA,0.369,0.1385,NA,9
"M",0.41,0.31,NA,0.3595,0.1415,0.0885,0.115,11
"I",0.44,NA,0.11,0.3805,0.1575,0.0895,0.115,NA
"M",0.615,0.47,0.165,1.128,0.4465,0.2195,0.34,10
"I",NA,0.305,0.105,0.3625,0.1565,NA,0.125,10
"M",0.5,0.405,0.14,0.6155,NA,0.1355,0.205,NA
"I",0.33,0.205,NA,NA,0.077,0.032,0.0435,5
"M",0.385,NA,0.115,0.2685,0.0975,NA,0.085,8
"M",NA,0.51,NA,NA,NA,0.2025,0.385,12
"I",0.37,0.27,0.095,0.2175,0.097,0.046,0.065,6
"M",0.72,0.56,NA,1.5865,0.691,0.375,0.4425,11
"F",NA,NA,0.19,1.492,0.6425,0.3905,0.42,12
"I",0.415,0.32,0.115,0.3045,0.1215,0.0735,0.094,7
"I",0.565,0.43,0.15,0.8215,0.332,0.1685,0.29,NA
"I",0.55,0.42,0.115,0.668,0.2925,0.137,0.209,11
"I",0.395,NA,0.095,0.3,0.158,0.068,0.078,7
"F",0.62,0.47,0.2,1.2255,0.381,0.27,0.435,23
"I",0.23,0.165,0.06,NA,0.019,0.0145,0.036,4
"I",0.31,NA,0.075,0.155,0.065,0.037,0.0365,6
"I",0.225,0.17,0.05,0.0515,0.019,0.012,0.017,4
"M",NA,0.505,0.155,NA,0.492,0.226,0.325,11
"M",NA,0.435,NA,NA,0.4525,0.2395,0.235,9
"F",0.5,0.375,0.115,0.5945,0.185,NA,0.19,11
"I",0.61,0.46,0.17,1.278,NA,0.257,0.37,17
"F",0.605,0.505,0.18,1.434,0.7285,0.264,0.431,11
"F",0.62,NA,0.225,1.1835,NA,0.27,0.395,23
"I",0.16,0.11,NA,0.018,0.0065,NA,NA,3
"M",0.66,0.53,0.17,1.3905,0.5905,0.212,0.453,15
"I",0.54,0.42,0.14,0.6275,0.2505,0.1175,0.235,9
"F",0.645,0.48,0.17,1.1345,0.528,0.254,0.305,10
"F",0.695,0.56,0.185,1.7715,0.8195,0.331,0.437,10
"I",0.52,0.405,NA,0.6765,0.2865,0.146,0.205,15
"M",0.6,0.47,0.16,1.194,NA,0.3045,0.2635,10
"F",0.72,NA,0.18,1.6705,0.732,0.3605,0.501,12
"M",0.57,NA,0.14,0.9535,0.4465,NA,0.245,12
"I",0.62,0.475,0.16,0.907,0.371,0.167,0.3075,NA
"M",NA,0.4,0.13,NA,NA,0.1665,0.205,12
"M",0.59,NA,0.12,0.911,0.39,0.182,NA,16
"M",NA,0.43,0.16,0.9295,0.317,NA,0.355,13
"F",0.51,0.34,NA,0.7005,0.312,0.165,0.2,11
"I",0.64,0.49,NA,1.1,0.488,0.2505,0.2925,10
"M",0.65,NA,0.18,1.793,0.8005,0.339,0.53,14
"M",0.625,0.47,0.18,NA,NA,0.3245,0.305,11
"F",NA,0.41,0.13,0.7145,0.335,0.144,0.2075,9
"I",0.485,0.37,0.115,0.637,0.38,NA,0.128,7
"F",0.68,0.56,0.195,1.7775,0.861,0.322,0.415,11
"I",0.39,0.295,0.095,0.203,NA,0.045,NA,7
"F",NA,0.45,0.185,0.9955,0.3945,0.272,NA,11
"F",0.705,0.57,0.18,1.5345,0.96,0.4195,0.43,12
"I",NA,0.32,0.095,0.348,0.194,0.053,0.087,6
"M",NA,0.48,0.17,1.1835,0.582,0.2365,0.317,10
"M",0.57,0.455,0.15,0.952,0.3895,NA,0.2745,NA
"F",0.46,0.35,0.115,0.44,0.19,0.1025,0.13,8
"M",0.62,0.465,NA,0.911,0.375,0.2145,0.278,10
"F",NA,0.365,0.15,0.9145,0.4145,0.199,0.273,7
"I",0.46,0.36,0.14,0.447,0.161,0.087,0.16,9
"F",0.625,0.485,0.175,1.362,0.6765,0.2615,0.3705,10
"F",0.755,0.625,0.21,2.505,1.1965,0.513,0.6785,11
"I",0.395,0.31,0.085,0.317,NA,NA,0.0935,7
"M",0.685,0.52,0.15,1.3735,0.7185,0.293,0.32,11
"M",NA,0.51,0.155,1.407,0.7215,NA,0.335,9
"M",0.635,0.51,0.21,1.598,0.6535,0.2835,0.58,15
"I",0.495,0.355,0.12,0.4965,0.214,0.1045,0.1495,8
"F",0.515,0.375,0.11,0.6065,0.3005,0.131,NA,6
"M",0.47,0.365,0.12,0.612,0.327,NA,0.14,8
"I",0.39,0.3,NA,0.2665,0.1105,0.059,0.084,7
"M",NA,NA,0.17,0.93,0.408,0.259,0.22,9
"M",0.655,NA,0.2,1.5455,0.654,0.3765,0.415,11
"M",0.525,0.425,0.19,NA,0.4625,NA,0.199,NA
"F",0.575,0.46,0.145,0.9945,NA,0.229,0.265,7
"F",0.63,0.505,0.165,1.065,0.4595,0.216,0.315,12
"F",0.53,NA,0.145,0.8255,0.375,0.204,0.245,9
"F",0.49,NA,0.15,0.5755,0.22,0.144,0.19,9
"M",0.535,NA,0.14,0.874,0.3735,0.229,0.2195,8
"M",NA,0.44,NA,0.9025,0.31,0.193,NA,14
"F",NA,0.475,0.155,1.217,0.5305,NA,0.34,16
"M",0.575,0.45,0.16,0.955,0.44,0.1685,0.27,16
"I",0.42,0.325,NA,NA,0.1295,0.0635,0.1,8
"I",0.51,0.375,0.1,0.5785,0.238,0.1225,0.175,7
"F",0.59,0.445,0.13,1.1325,0.3825,0.234,0.32,NA
"F",0.58,0.46,0.15,1.1155,0.5575,0.2255,0.29,7
"F",0.61,0.475,0.15,1.1135,NA,NA,0.3005,11
"M",0.49,0.395,0.135,0.5545,0.213,0.0925,NA,14
"I",0.28,0.12,NA,0.117,0.0455,0.029,0.0345,4
"M",0.515,0.425,0.145,0.9365,0.497,0.181,0.2185,8
"F",0.61,0.49,0.17,1.3475,0.7045,0.25,0.3045,11
"F",0.61,0.43,0.14,0.909,0.438,0.2,0.22,8
"M",0.385,0.255,0.1,0.3175,0.137,0.068,NA,8
"M",0.665,0.525,0.155,1.3575,0.5325,0.3045,0.4485,10
"I",NA,0.265,0.08,0.2,0.09,0.042,0.06,7
"I",0.555,0.43,0.15,0.783,0.345,0.1755,0.247,9
"F",0.56,0.42,0.18,1.6645,0.7755,0.35,0.4525,NA
"M",0.57,0.445,0.16,1.0145,0.516,0.164,0.3,10
"M",0.64,0.51,NA,1.368,0.515,0.266,0.57,NA
"F",0.57,0.445,NA,0.995,NA,0.185,0.2505,9
"M",0.555,0.43,NA,0.7575,0.2735,0.1635,NA,13
"M",0.5,0.39,0.135,0.6595,NA,0.1535,0.1565,6
"F",0.695,0.53,0.2,NA,0.75,0.4195,0.6095,14
"I",0.465,0.345,0.11,0.393,0.1825,0.0735,0.12,8
"F",0.505,0.39,0.12,0.5725,0.2555,NA,NA,8
"I",0.18,NA,0.035,0.0265,0.0095,0.0055,0.0085,4
"I",0.505,0.395,0.105,NA,0.248,0.103,0.171,NA
"M",0.47,0.375,0.12,0.5805,0.266,0.0935,0.169,8
"F",NA,0.45,0.16,NA,NA,0.268,0.3,NA
"I",0.445,NA,0.09,0.336,0.1555,0.09,0.0855,7
"I",NA,0.42,0.16,0.7095,0.35,0.1505,0.1845,8
"I",0.29,0.225,0.075,0.152,0.071,0.059,0.045,9
"M",0.505,0.385,0.11,0.655,0.3185,0.15,0.185,9
"M",NA,0.52,0.19,1.6385,0.8115,0.369,0.391,NA
"M",0.525,0.415,0.16,NA,0.26,0.1575,0.22,NA
"I",0.5,0.38,NA,0.5605,0.28,0.106,0.15,9
"F",0.635,0.505,0.165,1.251,0.577,NA,0.3825,NA
"F",0.52,0.375,0.135,NA,0.221,0.117,0.17,8
"F",0.385,0.305,0.125,0.314,0.146,NA,0.08,10
"F",0.585,0.475,0.165,1.053,0.458,0.217,0.3,11
"F",0.645,NA,0.17,NA,0.6135,0.283,0.34,10
"F",0.34,0.255,0.085,0.204,0.097,0.021,0.05,6
"M",0.47,0.35,0.1,0.4775,0.1885,0.0885,0.175,8
"F",0.58,0.425,NA,0.873,0.3615,NA,NA,NA
"F",0.58,NA,0.175,1.165,0.65,0.2205,0.3055,9
"M",0.565,0.44,NA,0.9185,0.404,NA,0.29,11
"M",0.36,0.295,NA,0.241,0.0865,0.053,0.095,NA
"M",0.6,NA,0.15,0.8665,0.3695,0.1955,0.255,NA
"M",0.605,0.47,0.115,1.114,0.3925,0.291,0.31,15
"M",NA,0.46,0.16,1.063,0.513,0.2705,NA,NA
"I",0.195,0.135,0.04,0.0325,NA,0.005,0.0095,4
"M",0.55,0.435,0.145,0.843,0.328,0.1915,NA,15
"I",NA,0.45,0.135,0.807,0.3615,0.176,0.254,10
"M",0.625,0.47,0.175,1.179,0.605,NA,0.271,9
"M",0.66,0.515,0.195,1.5655,0.7345,0.353,0.386,9
"F",NA,0.43,0.14,0.84,0.375,0.218,NA,NA
"F",0.735,0.565,0.205,2.1275,0.949,0.46,0.565,12
"I",0.36,0.27,0.09,0.232,0.12,0.0435,0.056,8
"F",NA,0.48,0.15,1.11,0.498,0.228,0.33,NA
"I",0.54,0.425,0.13,NA,0.2955,0.169,0.225,10
"I",NA,0.36,0.125,NA,0.205,0.1305,0.125,8
"I",0.515,0.42,0.15,0.6725,0.2555,0.1335,NA,10
"I",0.52,0.38,0.14,0.525,0.1775,0.115,0.185,11
"I",0.54,0.42,NA,0.7265,0.3205,0.1445,NA,9
"I",0.47,0.375,NA,0.441,0.167,0.0865,NA,10
"I",0.545,0.42,0.125,0.717,0.358,0.112,0.22,8
"F",0.585,0.47,0.17,NA,0.3975,0.2325,0.358,NA
"M",0.61,0.49,0.16,1.146,0.597,0.246,0.265,8
"M",0.56,NA,NA,0.8875,0.3345,0.22,0.2695,NA
"I",0.36,0.27,0.09,0.219,0.097,0.0405,0.065,NA
"M",0.715,0.545,0.18,1.7405,0.871,0.347,0.449,10
"F",0.64,0.5,0.17,1.2645,0.565,0.3375,0.315,9
"F",0.61,0.495,0.16,NA,0.469,0.198,NA,11
"F",0.615,0.48,NA,1.2525,0.585,NA,NA,NA
"F",0.69,0.54,NA,NA,0.6935,NA,NA,15
"M",0.625,NA,0.175,1.254,NA,NA,0.3185,9
"F",0.64,0.5,0.15,NA,0.371,0.2705,0.36,8
"M",0.69,0.55,0.18,1.6915,0.6655,0.402,0.5,11
"M",0.68,0.53,NA,1.529,NA,NA,0.4025,11
"M",0.59,0.405,0.15,NA,0.326,0.2615,NA,9
"M",0.5,0.42,NA,0.6765,0.302,NA,0.2065,9
"F",0.67,0.585,0.16,1.309,0.5445,0.2945,0.413,10
"F",0.655,0.515,NA,1.494,0.7255,0.309,0.405,12
"I",0.52,0.425,0.17,NA,0.28,0.174,0.195,10
"F",0.6,0.47,0.2,1.031,0.392,NA,0.29,NA
"M",0.585,0.49,0.185,1.171,0.522,0.2535,NA,10
"M",NA,0.25,0.09,0.203,0.0615,0.037,0.0795,11
"F",0.55,0.38,0.165,NA,0.543,0.294,0.3345,10
"M",0.6,0.48,0.175,1.229,0.4125,0.2735,0.415,13
